Марка,Модель,Год выпуска,Цена,Двигатель,Мощность,Коробка передач,Пробег,Владельцы,Поколение,Комплектация,URL,Возраст,Объем двигателя,Марка_код,Модель_код,Тип кузова_джип/suv 5 дв.,Тип кузова_купе,Тип кузова_лифтбек,Тип кузова_минивэн,Тип кузова_не указано,Тип кузова_открытый,Тип кузова_седан,Тип кузова_универсал,Тип кузова_хэтчбек 3 дв.,Тип кузова_хэтчбек 5 дв.,Привод_задний,Привод_передний,Тип КПП_вариатор,Тип КПП_робот,Тип топлива_гибрид,Тип топлива_дизель,Тип топлива_не указано,Руль_правый,Цвет_белый,Цвет_бордовый,Цвет_голубой,Цвет_желтый,Цвет_зеленый,Цвет_золотистый,Цвет_коричневый,Цвет_красный,Цвет_оранжевый,Цвет_розовый,Цвет_серебристый,Цвет_серый,Цвет_синий,Цвет_фиолетовый,Цвет_черный,Поколение_номер,Мощность/Объем,Новый,год,месяц,день,день_недели,квартал,день_года,викенд,сезон,дней_с_публикации
JAC,J7,2022,790000,"бензин, 1.5 л",136,механика,82737,1,1 поколение,1073,https://auto.drom.ru/spb/jac/j7/820946308.html?from=recommend,3,1.5,37,255,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,90.66666666666667,0,2025,6,23,0,2,174,0,3,17
Daewoo,Matiz,2008,195000,"бензин, 1.0 л",63,механика,123022,4,"1 поколение, рестайлинг",6,https://auto.drom.ru/spb/daewoo/matiz/429859412.html?from=recommend,17,1.0,17,310,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,63.0,0,2025,6,15,6,2,166,1,3,25
Hyundai,Tucson,2007,539000,"бензин, 2.0 л",140,АКПП,230000,3,1 поколение,1073,https://auto.drom.ru/spb/hyundai/tucson/171915927.html?from=recommend,18,2.0,35,477,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,70.0,0,2025,6,28,5,2,179,1,3,12
Ford,Focus,2012,650000,"бензин, 1.6 л",105,механика,210000,3,3 поколение,311,https://auto.drom.ru/spb/ford/focus/803674720.html?from=recommend,13,1.6,25,197,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,65.625,0,2025,6,28,5,2,179,1,3,12
Toyota,Camry,2018,2550000,"бензин, 2.5 л",181,АКПП,127000,3,"8 поколение, 2 рестайлинг",690,https://auto.drom.ru/spb/toyota/camry/444891830.html?from=recommend,7,2.5,78,129,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8,72.4,0,2025,7,4,4,3,185,0,3,6
Geely,Coolray,2023,2200000,"бензин, 1.5 л",174,автомат,10750,1,"1 поколение, рестайлинг",1073,https://auto.drom.ru/spb/geely/sx11/190662580.html?from=recommend,2,1.5,29,150,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,116.0,0,2025,6,20,4,2,171,0,3,20
Volkswagen,Passat,1991,170000,"бензин, 2.0 л",115,механика,270000,4,3 поколение,1073,https://auto.drom.ru/spb/volkswagen/passat/134401232.html?from=recommend,34,2.0,79,357,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,57.5,0,2025,6,28,5,2,179,1,3,12
Suzuki,Every,2018,675000,"бензин, 0.7 л",49,автомат,147150,2,,1073,https://auto.drom.ru/spb/suzuki/every/907203464.html?from=recommend,7,0.7,75,182,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,70.0,0,2025,7,7,0,3,188,0,3,3
JAC,JS6,2022,1649000,"бензин, 1.5 л",174,робот,32000,1,1 поколение,155,https://auto.drom.ru/spb/jac/js6/230851704.html?from=recommend,3,1.5,37,257,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,116.0,0,2025,7,4,4,3,185,0,3,6
Peugeot,408,2014,599000,"бензин, 1.6 л",120,АКПП,167000,3,1 поколение,210,https://auto.drom.ru/spb/peugeot/408/389448436.html?from=recommend,11,1.6,60,39,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,75.0,0,2025,7,7,0,3,188,0,3,3
Opel,Antara,2014,950000,"дизель, 2.2 л",163,механика,241000,2,"1 поколение, рестайлинг",1073,https://auto.drom.ru/spb/opel/antara/656043996.html?from=recommend,11,2.2,59,85,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,74.09090909090908,0,2025,6,14,5,2,165,1,3,26
