Марка,Модель,Год выпуска,Цена в г.Владивосток,Цена на аукционе,Двигатель,Мощность,Пробег,URL,Возраст,Марка_код,Модель_код,Коробка передач_механика,Коробка передач_не указано,Цвет_желтый,Цвет_зеленый,Цвет_золотой,Цвет_коричневый,Цвет_не указано,Цвет_оранжевый,Цвет_розовый,Цвет_серебристый,Цвет_серый,Цвет_синий,Цвет_фиолетовый,Цвет_черный,Новый,год,месяц,день,день_недели,квартал,день_года,викенд,сезон,дней_с_публикации
Volkswagen,"Passat  автомат, 2023, 2000",2023,2861419,1473430,2000,,2000,https://autosender.ru/avto-iz-kitaya/volkswagen/passat/19901492,2,66,4763,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Tiguan  автомат, 2022, 3600",2022,2861419,1701280,1400,,3600,https://autosender.ru/avto-iz-kitaya/volkswagen/tiguan/19896541,3,66,6063,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2024, 10",2024,2861419,2886100,1500,,10,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19908342,1,49,1842,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,2025,3,7,4,1,66,0,2,125
Volkswagen,"Arteon  автомат, 2023, 4770",2023,2861419,1061130,1400,,4770,https://autosender.ru/avto-iz-kitaya/volkswagen/arteon/19907685,2,66,1329,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Tiguan  автомат, 2022, 3000",2022,2861419,1516830,2000,,3000,https://autosender.ru/avto-iz-kitaya/volkswagen/tiguan/19906569,3,66,6061,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Buick,"Envision  автомат, 2021, 6300",2021,2861419,965650,1500,,6300,https://autosender.ru/avto-iz-kitaya/buick/envision/19906059,4,7,2953,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Audi,"A6  автомат, 2021, 13000",2021,2861419,2232930,2000,,13000,https://autosender.ru/avto-iz-kitaya/audi/a6/19905804,4,2,898,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Audi,"A5  автомат, 2017, 8000",2017,2861419,1484280,2000,,8000,https://autosender.ru/avto-iz-kitaya/audi/a5/19905628,8,2,823,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2022, 4460",2022,2861419,2473800,1500,,4460,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19905082,3,49,1798,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Buick,"LaCrosse  автомат, 2022, 7000",2022,2861419,1191330,2000,,7000,https://autosender.ru/avto-iz-kitaya/buick/lacrosse/19904504,3,7,3975,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Volkswagen,"Passat  автомат, 2023, 3600",2023,2861419,1616650,2000,,3600,https://autosender.ru/avto-iz-kitaya/volkswagen/passat/19902744,2,66,4773,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
